conta;valor;descricao
80;792,63;Xylolelilaesi
27;424,30;Qaecocaelishe
74;254,20;Gynyfaejylapo
50;30,66;Nyhaela
28;230,35;Haqaelojudopedi
1;645,86;Baenynodykaqe
31;169,47;Malytenobacaeme
9;996,39;Fibaelikytizho
24;883,13;Negaewolu
71;991,96;Dosheshaesu
54;932,50;Venyrariby
38;237,77;Gyshyfonaehehe
55;543,71;Jebomikiqame
24;583,20;Ducilizhaleciso
39;7,59;Tacazhekihodae
27;910,41;Gizhabovaeni
69;347,46;Pegaepae
84;357,09;Fyshejysaefivi
44;688,85;Kupoxuvae
2;390,39;Gewyshu
72;187,73;Panuryfotae
76;955,89;Gejewalu
51;834,75;Togaebuka
98;575,35;Gosusyfuvygyshy
69;427,41;Haeshuqysedelae
55;28,83;Myvisalofaegy
13;795,34;Nobilewezhu
55;492,52;Deshyceda
7;338,42;Lysaejaceshofiwo
35;834,82;Lyduteli
73;654,89;Qaehuhaeco
43;965,22;Cusebovozhaelehe
29;823,25;Difilemu
24;695,31;Cufolopi
69;571,88;SHaeharaeshosolae
76;746,39;Cenaesuzhi
71;646,34;Vycygyli
91;981,87;Jatunily
13;729,49;Tosyzhynojishaevo
44;87,49;Gowaerosorae
55;499,17;Koragu
41;125,10;Nojirakekoxi
64;759,90;Xowikifipoxyzho
73;734,12;Forexity
13;873,10;Cylifo
86;203,18;Foqivae
62;869,36;SHymeferytolicy
10;565,71;Qonulevere
23;494,16;Kipubototi
47;652,25;Baexyvere
27;89,41;Redaqupiqe
87;477,92;Hyjyxu
90;763,63;Xaelyrodipy
40;244,05;Cuhufutirae
32;726,72;Pugozhaepyxucae
16;293,93;Talijixyxu
27;932,94;Paenulohylasyxy
24;655,26;Mawivi
98;665,17;Nushilepyxyzhe
7;848,46;ZHihucumoshi
97;909,26;Joguvuboqytu
47;833,23;Bosidute
35;218,12;Jurelesicazhe
96;392,33;Fibyrini
68;52,20;Mucabuwanovumae
15;420,09;Bawoji
23;251,94;Kazhamulaecifavae
93;487,41;Veshylerequxuly
63;735,80;Hemehi
94;553,28;Valahobeju
90;763,17;Xyxawosibozha
97;984,25;Meraecae
70;875,37;Tagesae
16;715,98;Dybirixi
22;127,60;Letyjipy
3;796,19;Getamapa
30;762,16;Faeremigaqaexyzhu
13;363,35;Kofytusi
20;352,30;Lukanomaefaka
52;62,71;Subisharatuzhi
25;918,65;Xusaru
48;334,23;Raenyshysamewaepu
75;346,15;Xolaedybujatae
95;623,36;Fiqyhamaeshy
42;678,38;Tisejomy
94;446,78;Jidacaeme
14;32,91;Lovuzhihotu
5;910,40;Hotoqiqishae
72;105,08;Pacaxemiruso
72;421,38;Vafery
29;495,33;Lecotora
67;534,73;Gycuxeke
32;74,18;Fyshaequgae
23;909,85;Difuquxuburo
38;201,11;Kopory
36;655,22;Qesashilataemoly
58;834,36;Raexoly
63;249,96;ZHytogijejaezhi
98;392,65;Futaewonygo
86;277,89;Baboshoweni
24;915,33;Wivepaexy
37;69,62;Xepaerahabulesho
90;994,39;Jaenyti
42;707,54;Malixy
94;487,71;Dubelomataru
93;73,37;Qaedaebazharushuzhy
63;619,51;Kaexihovuvu
43;320,12;Fowaewicikocymi
14;696,60;Lanaqae
12;459,42;Huwokuhokute
15;19,78;Wawaegutaeraejisy
38;437,66;Gavagiwakae
73;763,16;Jaeshabyliqeshoma
1;841,07;Xavaelewype
72;476,69;Jaebakape
27;345,23;Dajele
62;414,42;Vupupakula
69;601,02;Howaemubuzhaenyti
3;231,35;Hohidywasy
4;578,48;Mamijarybopaeshi
5;804,35;Qudaenerohivi
81;841,95;Nazhody
28;550,22;Hykusheho
71;560,61;Koduku
42;48,02;Raejelacy
86;35,80;ZHaevewopoxaqae
62;42,96;Titiqitaqaekoru
98;631,27;Pevilacipaenymy
63;366,47;Wehuwahahigi
59;601,49;SHeguniwevaeqaemo
52;712,95;Waqoqahe
21;567,60;Xaehatu
18;153,87;Faeqonoqaecaecy
51;230,47;ZHypasheholytyna
72;817,88;Cugygifawudi
92;369,00;Jaeshaefowatae
17;60,60;Cofigaemo
56;62,96;Talogu
53;62,87;Numydygaecu
57;636,20;Qilaemameju
85;894,02;Raebaegygawipyqa
67;691,70;Rixogae
7;887,46;Xezhebyhi
97;374,80;Dypiwahimeny
3;338,84;Bikatevudilicy
89;357,66;Suhaeshyshi
72;366,89;Maehaehamubapo
33;226,69;Maedazhesisy
47;437,41;Libudukasugufu
86;549,32;Fujuro
89;953,57;Waebofuhapa
22;550,82;Wigedaesezhefae
23;939,60;Requqabe
89;504,51;Loricaebowo
72;988,56;Qinuwu
78;145,62;Kenasymobupego
77;526,95;Gymafokufi
53;611,68;Lahaemeraezhe
95;479,86;Pobyfaevae
96;696,76;Jicafoqoleha
4;131,68;Gaemeboqonacatae
16;479,33;Natuzhaevefi
85;22,10;Fyvyzhedo
14;594,68;Noqopesa
89;831,06;Hamyrowosytesha
89;712,63;Byhaenuga
99;66,78;Taraqymy
94;739,94;Pebelugyvishaeshe
93;126,46;SHysyshohalelebi
18;626,31;Deryryvaelunu
66;313,10;Joxaetaecawae
81;633,66;Pejylohyfu
40;290,04;ZHyhaevysaxomaeto
30;416,12;Fupuga
71;112,67;Dirylino
48;981,51;Peqolivaesi
46;106,10;Pedusigaeqy
16;203,49;Kaezhymuluzhixy
80;792,97;Laekuxuqetycose
97;855,72;Cihybaelaeqodi
71;135,31;Lenacibaenikive
34;184,91;Sorofaetegohemu
21;982,53;Cahasejovitecy
82;694,67;Rapewi
32;463,99;Catyrovewo
80;747,29;Venywi
88;846,34;Xoteji
36;814,31;Mydotaebi
78;980,56;Lishobilikuxury
35;397,17;Xaefoxaehumae
63;675,15;Ciqaejy
95;760,38;Saelaezhae
22;529,96;Ruteqogorefu
64;720,66;Hetiqegepuzhu
8;391,69;ZHogejeruvesi
19;795,64;Baewory
95;515,35;Jicifuhogeky
7;207,16;Lashowihypofaegu
62;594,14;Gybaetaejae
11;266,61;Bakaemapyshaezha
80;482,44;Nexehatowu
91;8,48;Vetexyshushacime
68;879,92;Faqalusinotecae
71;746,20;Fahaeli
93;754,43;Kixewi
67;690,00;Fishuwaede
19;697,86;Fuhimaeta
21;76,89;Vyshiho
74;710,98;Lasiqimi
81;533,91;Siwojo
46;437,28;Seviwae
78;727,97;Lacaraexashe
54;287,83;Neputupuqafaewa
90;135,69;SHelujizhodagae
77;5,03;Vamocojexovu
3;225,61;Pypuwu
78;179,74;Favaetenigaesale
61;711,50;Xushyjaefusazhejy
6;915,22;Jepahi
66;952,85;Witihakaetifu
78;374,36;Tonoti
32;255,33;Puwyfehyxisyto
14;733,18;Jimoshu
92;109,28;Vararukytapala
78;262,46;Hujalaxarae
63;130,56;Vozhivavaegae
31;519,97;ZHawaegypesili
38;603,30;Kozhushy
51;317,84;Syshutaeli
55;625,44;Tetynojelaejy
61;128,52;Mytidelo
39;756,30;Diridy
83;236,30;Hawucihe
87;458,92;Jubikovu
86;969,26;Letupizheqyvitae
19;756,53;Lojexy
35;389,43;Vaeparae
77;461,64;Nujuloshobiqaeqo
25;861,35;SHuhykapaelahydae
84;51,46;Jaesigysae
25;52,33;ZHaeraefahenae
47;226,14;Lynyde
64;852,59;Porilovyle
33;146,78;Haecinyzhawyro
37;649,69;Womedelyso
69;600,14;Pelali
